temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
6506,3.14172985,1.3719641020681905E-4,4.3669066647095406E-5,-3.8626572519511746,160000000,1
6521,3.14147415,-1.1850358979303977E-4,-3.772228709666122E-5,-3.926268493504556,160000000,1
6537,3.141627225,3.457141020701826E-5,1.1004300552245902E-5,-4.461282904731963,160000000,1
6568,3.141658025,6.537141020679371E-5,2.080793316350646E-5,-4.184612146234588,160000000,1
6568,3.141374275,-2.183785897931223E-4,-6.951689632497621E-5,-3.6607899428468826,160000000,1
6568,3.141615925,2.3271410206859855E-5,7.407465063336746E-6,-4.6331772984278965,160000000,1
6631,3.141819325,2.2667141020704662E-4,7.214654528456903E-5,-3.644603253461121,160000000,1
493,3.1416477333333335,5.507974354035383E-5,1.7532119516758626E-5,-4.259008090551433,15000000,1
481,3.1415477333333333,-4.49202564598572E-5,-1.4298766172874491E-5,-4.34755777291853,15000000,1
5008,3.141784275,1.9162141020689916E-4,6.0991269111530314E-5,-3.717555968038093,160000000,1
4966,3.14169025,9.759641020679055E-5,3.106493716456947E-5,-4.010566156268285,160000000,1
5131,3.141355975,-2.3667858979292689E-4,-7.534281109065548E-5,-3.6258410270533608,160000000,1
5195,3.14180485,2.1219641020708835E-4,6.753965326875358E-5,-3.673261967467854,160000000,1
5239,3.1415283,-6.435358979306471E-5,-2.048480346112582E-5,-4.191427222126568,160000000,1
5226,3.1415206,-7.205358979289755E-5,-2.293589600937124E-5,-4.142344377259295,160000000,1
5226,3.141603725,1.1071410206842103E-5,3.5241269033197695E-6,-4.955797057888802,160000000,1
5059,3.141426625,-1.6602858979331003E-4,-5.285133463631672E-5,-3.7798171208733597,160000000,1
5059,3.141504275,-8.837858979315882E-5,-2.8132570277390067E-5,-4.053652932508232,160000000,1
5329,3.141645225,5.257141020686973E-5,1.673371957741337E-5,-4.279250373051053,160000000,1
5360,3.14152195,-7.070358979310853E-5,-2.2506158135584103E-5,-4.150558535456852,160000000,1
5296,3.141460825,-1.318285897933258E-4,-4.1964104325039865E-5,-3.8799903936645763,160000000,1
5296,3.1413626,-2.300535897932221E-4,-7.323369476456558E-5,-3.638170985545354,160000000,1
5223,3.141743675,1.5102141020673088E-4,4.806929712581689E-5,-3.820961478696903,160000000,1
5255,3.141612525,1.9871410207095153E-5,6.325226312590904E-6,-4.7017713113789785,160000000,1
5513,3.141831825,2.391714102070175E-4,7.612482893065656E-5,-3.621290735768114,160000000,1
5607,3.1415649,-2.7753589793011457E-5,-8.834320052726416E-6,-4.556680835011021,160000000,1
